code,name,scheme,uri,region_code,region_country_code,region_country_language_code
1701000,mun.Cahul,CUATM,http://statistica.md,1700000,MD,EN
1701000,mun.Cahul,CUATM,http://statistica.md,1700000,MD,RO
1701000,мун.Кахул,CUATM,http://statistica.md,1700000,MD,RU
2501000,or.Calarasi,CUATM,http://statistica.md,2500000,MD,EN
2501000,or.Călăraşi,CUATM,http://statistica.md,2500000,MD,RO
2501000,г.Кэлэрашь,CUATM,http://statistica.md,2500000,MD,RU
2901000,or.Cimislia,CUATM,http://statistica.md,2900000,MD,EN
2901000,or.Cimişlia,CUATM,http://statistica.md,2900000,MD,RO
2901000,г.Чимишлия,CUATM,http://statistica.md,2900000,MD,RU
3401000,or.Donduseni,CUATM,http://statistica.md,3400000,MD,EN
3401000,or.Donduşeni (r-l Donduşeni),CUATM,http://statistica.md,3400000,MD,RO
3401000,г.Дондушень (р-н Дондушень),CUATM,http://statistica.md,3400000,MD,RU
4801000,or.Glodeni,CUATM,http://statistica.md,4800000,MD,EN
4801000,or.Glodeni,CUATM,http://statistica.md,4800000,MD,RO
4801000,г.Глодень,CUATM,http://statistica.md,4800000,MD,RU



